PUMS_CODE,SHORT_DESC,COLUMN_NAME,LONG_DESCRIPTION
 RT , Record Type ,RECORD_TYPE, Indicates whether record is Housing (H) or Person (P) record 
 SERIALNO , Serial Number ,SERIAL_NUMBER, Unique identifier for housing unit/group quarters 
 DIVISION , Division ,DIVISION, Census division code based on 2020 Census definitions 
 SPORDER , Person Number ,PERSON_NUMBER, Person's number within household (01-20) 
 PUMA , Public Use Microdata Area ,PUBLIC_USE_MICRODATA_AREA," Geographic area code with 100,000+ population "
 REGION , Region ,REGION," Census region code (Northeast, Midwest, South, West) "
 STATE , State ,STATE, Two-digit state code 
 ADJINC , Income Adjustment Factor ,INCOME_ADJUSTMENT_FACTOR, Factor to adjust income to constant dollars (6 implied decimal places) 
 PWGTP , Person Weight ,PERSON_WEIGHT, Population weight for person-level statistics 
 AGEP , Age ,AGE, Person's age 
 CIT , Citizenship ,CITIZENSHIP," Citizenship status (native born, naturalized, non-citizen) "
 CITWP , Year of Naturalization ,YEAR_OF_NATURALIZATION, Year when person became naturalized U.S. citizen 
 COW , Class of Worker ,CLASS_OF_WORKER," Employment category (private, government, self-employed, etc.) "
 DDRS , Self-care Difficulty ,SELF-CARE_DIFFICULTY, Whether person has difficulty with self-care 
 DEAR , Hearing Difficulty ,HEARING_DIFFICULTY, Whether person has difficulty hearing 
 DEYE , Vision Difficulty ,VISION_DIFFICULTY, Whether person has difficulty seeing 
 DOUT , Independent Living Difficulty ,INDEPENDENT_LIVING_DIFFICULTY, Whether person has difficulty living independently 
 DPHY , Physical Difficulty ,PHYSICAL_DIFFICULTY, Whether person has ambulatory difficulty 
 DRAT , Veteran Disability Rating ,VETERAN_DISABILITY_RATING, Service-connected disability rating percentage 
 DRATX , Veteran Disability Status ,VETERAN_DISABILITY_STATUS, Whether veteran has service-connected disability 
 DREM , Cognitive Difficulty ,COGNITIVE_DIFFICULTY, Whether person has cognitive difficulty 
 ENG , English Ability ,ENGLISH_ABILITY, How well person speaks English 
 FER , Fertility ,FERTILITY, Whether female gave birth in past 12 months 
 GCL , Grandchildren Living ,GRANDCHILDREN_LIVING, Whether grandparents live with grandchildren 
 GCM , Grandchild Care Months ,GRANDCHILD_CARE_MONTHS, Length of time responsible for grandchildren 
 GCR , Grandchild Responsibility ,GRANDCHILD_RESPONSIBILITY, Whether grandparent is responsible for grandchildren 
 HIMRKS , Health Insurance Marketplace ,HEALTH_INSURANCE_MARKETPLACE, Type of health insurance marketplace coverage 
 HINS1 , Employer Insurance ,EMPLOYER_INSURANCE, Has health insurance through employer 
 HINS2 , Direct Purchase Insurance ,DIRECT_PURCHASE_INSURANCE, Has directly purchased health insurance 
 HINS3 , Medicare ,MEDICARE, Has Medicare coverage 
 HINS4 , Medicaid ,MEDICAID, Has Medicaid coverage 
 HINS5 , TRICARE ,TRICARE, Has TRICARE military health coverage 
 HINS6 , VA Healthcare ,VA_HEALTHCARE, Enrolled in VA health care 
 HINS7 , Indian Health Service ,INDIAN_HEALTH_SERVICE, Has Indian Health Service coverage 
 INTP , Interest Income ,INTEREST_INCOME," Interest, dividends, and net rental income "
 JWMNP , Travel Time to Work ,TRAVEL_TIME_TO_WORK, Number of minutes to get to work 
 JWRIP , Vehicle Occupancy ,VEHICLE_OCCUPANCY, Number of people who share ride to work 
 JWTRNS , Transportation to Work ,TRANSPORTATION_TO_WORK, Means of transportation to work 
 LANX , Non-English Language ,NON-ENGLISH_LANGUAGE, Whether speaks language other than English at home 
 MAR , Marital Status ,MARITAL_STATUS, Current marital status 
